"Friday, November 7, 2025",JOSH,"Swiftys, Meir",9pm,various,https://fb.me/e/2BaQf73TP,
"Friday, November 7, 2025",PINK with Vicky Jackson & her band ,Eleven Sandyford St6 5pd,£20.00 adv,,,
"Friday, November 7, 2025",The Ant Hill Mob,"The Cosey Club, Haslington",,,,
"Friday, November 7, 2025",The Orange Alert + Novelty Island,"Artisan Tap, Hartshill, Stoke-On-Trent",7:30:00 PM,,,
"Saturday, November 8, 2025",C&C Duo ,The Princess Royal,8.30pm,"Rock, Pop & Indie ",,
"Saturday, November 8, 2025",Circa 81,"The Shed, Maybank",8pm,,,
"Saturday, November 8, 2025",Craig Harrison ,Pool Dole In Fenton ,9pm,Decades Show. 80's through to the Noughties ,,
"Saturday, November 8, 2025",Crosshair,The Furlong Tavern,9pm,Hard Rock,https://www.facebook.com/events/1245764500550146/,
"Saturday, November 8, 2025",Eddie Lees Back to Back ,The Priory Leek,9 30pm ,60s and 70s Rock and Roll ,,
"Saturday, November 8, 2025",Fat Lip,"The Cosey Club, Haslington",,,,
"Saturday, November 8, 2025",John Sewell,"The Locomotive, Heren Cross",9pm,Acoustic Music Through the Eras ,,
"Saturday, November 8, 2025",Motorbeard,Eleven Sandyford St6 5pd, £12.00 adv,,,
"Saturday, November 8, 2025",Sac N Craic ,Hog Noggin Burslem,9pm,Folk,,
"Saturday, November 8, 2025",SoOasis,"Brown Jug, Newcastle",9pm,,,
"Saturday, November 8, 2025",The Pluckers ,"Charlie Bassett’s, Dilhorne ",8 30pm ,Covers and originals. ,,
"Saturday, November 8, 2025",Tourniquet,"Swiftys, Meir",9pm,pop rock,https://fb.me/e/6jGWnUWSG,
"Saturday, November 8, 2025",Tourniquet ,Swiftys Meir,9pm,Rock Covers,,
"Saturday, November 8, 2025",Trilogy Rock Band ,"The Globe, Tunstall",8:30pm,Classic Rock ,,
"Sunday, November 9, 2025",The Jim Kirkpatrick band + support ,Eleven Sandyford St6 5pd,(doors 2-6pm). £15.00 adv,,,
"Tuesday, November 11, 2025",Danny Shaw & Friends,The Glebe Stoke,,,,
"Wednesday, November 12, 2025",Danny Brab,"Shoulder, Fulford",8:30pm,"Indie, Britpop and US alternative scene ",,
"Friday, November 14, 2025",Bohemian Kings,"The Cosey Club, Haslington",,,,
"Friday, November 14, 2025",Counterfeit Quo.,Checkley Community Centre. St10 4nb ,Doors 8;30,Tribute. Status Quo.,F/B. Checkley Rockz.,
"Friday, November 14, 2025",Counterfeit Quo.  (Endorsed by Francis Rossi),Checkley Community centre.  ST10 4NB,Doors 8:30.  (24/7 tickets).,Status Quo  (tribute),F/B. Checkley Rockz.,
"Friday, November 14, 2025",Danny Brab,"Bakers Arms, Cheadle ",7:30pm,"Indie, Britpop and US alternative ",,
"Friday, November 14, 2025",Danny Brab,"Bakers Arms, Cheadle ",7:30pm,"Indie, Britpop and US alternative scene ",,
"Friday, November 14, 2025","Decibel Riot, Dark Root Falls, The Revenants","Artisan Tap, Hartshill",7pm,Hard Rock,https://www.facebook.com/share/p/1CJLTBHi1x/,
"Friday, November 14, 2025",Native Way,Granville's Stone,,,,
"Friday, November 14, 2025",Taylor Forevermore full band tribute to Taylor Swift,Eleven Sandyford St6 5pd,under 18's welcome with parent 1 under 18 per parent £15.00 adv,,,
"Friday, November 14, 2025",VANZ Acoustic Duo - Dave Cotterill & Andrea Harvey,"The Roebuck, Leek",9pm,Bluesy Funky Rock & Americana,,
"Friday, November 14, 2025",Walters & Bligh,"The Bridge Inn, Stone",8pm,Pop and Rock Acoustic,https://www.facebook.com/events/1935450493936751/?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22calendar_hosting_events_unit%22%2C%22surface%22%3A%22bookmark_calendar%22%7D]%2C%22ref_notif_type%22%3Anull%7D,
"Saturday, November 15, 2025",Bone China,"The Old Bulldog, ST3 1JR",9pm,Covers band,,
"Saturday, November 15, 2025",Circa 81,"The Waggon & Horses, Newcastle",8pm,,,
"Saturday, November 15, 2025",Classic Rockers duo ,Cheshire Cheese Hanley ,9pm,Classic rock n pop covers ,,
"Saturday, November 15, 2025",Crosshair,"The Potters Bar, Meir",9pm,Hard Rock,https://www.facebook.com/events/1290015662696794/,
"Saturday, November 15, 2025",Danny Brab,"Lord Combermere, Audlem",8:30pm,"Indie, Britpop and US alternative scene ",,
"Saturday, November 15, 2025",Fools' Messiah,"John Marston, Longton Hall Rd, Stoke.",9pm,Rock Covers with a difference!,,
"Saturday, November 15, 2025",Pretty Shivers,"Artisan Tap, Hartshill, Stoke-On-Trent",19:30,,,
"Saturday, November 15, 2025",Recall Duo,The Old Queen’s Head @ Talke ,9 pm,Rock Pop Motown Country,,
"Saturday, November 15, 2025",The Devout Depeche Mode tribute ,Eleven Sandyford St6 5pd,£16.00 adv,,,
"Sunday, November 16, 2025",Luke Combs UK matinee show ,Eleven Sandyford St6 5pd,3-8pm £22.00 adv,,,
"Sunday, November 16, 2025",Smokin Eskimo + Spirit Wagon,"Artisan Tap, Hartshill, Stoke-On-Trent",19:30,,,
"Sunday, November 16, 2025",VANZ Acoustic Duo - David & Andrea,"Bankers Draught, Leek",5pm,Bluesy Funky Rock n Roll Americana,,
"Tuesday, November 18, 2025",Front Page News,The Glebe Stoke,,,,
"Thursday, November 20, 2025",Blair Dunlop + Dave Burn,"Artisan Tap, Hartshill, Stoke-On-Trent",19:30,,,
"Thursday, November 20, 2025",Mark Stanways Kingdom of Madness ,Eleven Sandyford St6 5pd,£20.00 adv,,,
"Friday, November 21, 2025",ALIBI ,"Swifty's, Meir",9pm,Rock covers,,
"Friday, November 21, 2025",Beep Beep Yeah!,"Artisan Tap, Hartshill, Stoke-On-Trent",20:00,,,
"Friday, November 21, 2025",Crosshair,"The Terrace, Stoke",8pm,Hard Rock,https://www.facebook.com/events/1078727447781316/?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22calendar_hosting_events_unit%22%2C%22surface%22%3A%22bookmark_calendar%22%7D]%2C%22ref_notif_type%22%3Anull%7D,
"Friday, November 21, 2025",Danny Brab,"Crown Inn, Market Drayton",8:30pm,"Indie, Britpop and US alternative ",,
